id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
24882459;Quarto para turistas em Lisboa;132175939;Kammyla;Lisboa;Olivais;3.878.163;-912.289;Private room;75;7;0;;;1;90;0;Exempt
24883796;Alfama Casa Amarela - History and Fado;8361172;Camila & Cynthia;Lisboa;Santa Maria Maior;3.871.149;-912.689;Entire home/apt;88;2;88;28.07.2021;Feb 34;12;284;6;76634/AL
24886469;Beachtour Summertime;188144049;Lurdes;Mafra;Ericeira;3.898.105;-941.327;Entire home/apt;65;2;16;27.09.2020;0.40;2;226;2;66833/AL
24888426;Cosy Bedroom with private Bathroom Only for Woman;32329533;Sofia;Lisboa;Arroios;3.873.127;-913.316;Private room;24;1;35;26.09.2019;0.86;1;77;1;Exempt
24889051;Lovely apartment avenidas novas;91843805;Doron;Lisboa;Avenidas Novas;3.873.113;-915.141;Entire home/apt;80;3;10;17.02.2019;0.31;2;365;0;82688/AL
24893067;Dali Apartment (Ground floor left - R/C Esq);188197765;Ana;Lisboa;Carnide;3.876.048;-918.975;Entire home/apt;40;2;26;07.10.2020;0.96;4;160;2;94048/AL
24893223;Living Chiado by Friendly Moments;151928415;Friendly;Lisboa;Santa Maria Maior;3.870.619;-914.069;Entire home/apt;163;1;20;01.08.2019;0.58;2;320;0;69438/AL
24893373;Actor's Neighbourhood Studio;188197453;Rafael;Lisboa;Areeiro;38.738;-913.027;Entire home/apt;49;2;60;13.02.2020;Jan 49;1;0;0;Exempt
24903173;Algés Lexus: Sea view, FREE Parking & Pool;294477656;Guilherme;Oeiras;Algs, Linda-a-Velha e Cruz Quebrada-Dafundo;3.869.874;-92.284;Entire home/apt;122;2;59;18.08.2021;Jan 46;1;353;9;39828/AL
24903973;Cosy Apartment in the Center of Lisbon;69531640;Bruno;Lisboa;Arroios;3.871.626;-913.876;Entire home/apt;65;3;76;09.11.2019;Jan 97;2;314;3;67632/AL
