id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
26973341;Veiga Areeiro Mar;157144325;Elena;Lisboa;Areeiro;387.411;-913.109;Private room;40;1;3;12.07.2019;0.07;5;157;0;64801/AL
26976354;GuestReady - Cosy flat Santos-o-Velho;402191311;GuestReady;Lisboa;Estrela;3.870.581;-916.294;Entire home/apt;81;2;26;29.11.2021;0.73;101;349;14;68472/AL
26976475;LX52;96925906;Weiwei;Lisboa;Arroios;3.873.119;-91.342;Private room;150;2;0;;;2;180;0;76953/AL
26984597;Casa do Aqueduto das Aguas Livres;86853720;Oualid;Lisboa;Campolide;3.873.398;-91.738;Private room;23;2;23;24.08.2019;0.56;1;190;0;Exempt
26985676;Casa do Poeta;202997734;Filomena;Lisboa;Campo de Ourique;3.871.531;-916.846;Entire home/apt;60;3;39;04.12.2021;0.98;1;142;7;77021/AL
26986372;GuestReady- Artists Flat;402191311;GuestReady;Lisboa;Arroios;3.871.672;-913.842;Entire home/apt;54;2;30;30.11.2021;0.92;101;362;13;74788/AL
26993510;Veiga Areeiro Vanilla;157144325;Elena;Lisboa;Areeiro;3.874.047;-9.129;Private room;58;1;1;04.05.2019;0.03;5;168;0;64801/AL
26993572;Veiga Areeiro Vintage;157144325;Elena;Lisboa;Areeiro;3.874.135;-912.901;Private room;40;1;1;10.08.2018;0.02;5;175;0;64801/AL
26994019;Traditional flat, cosy and bright - Flat 1;20893300;Páteo Das Buganvilias;Lisboa;Campolide;3.872.454;-916.787;Entire home/apt;75;4;15;26.10.2021;0.38;11;298;3;72660/AL
26994995;Sintra camping Vintage tent- 3 to 4 guests (Tent3);192342825;Carlos;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.882.175;-944.032;Private room;35;2;27;22.06.2020;0.65;12;365;0;Exempt
27005919;Chambre privée haut de gamme;203198659;Armand;Lisboa;Santo Antnio;3.872.407;-91.541;Private room;98;2;0;;;2;364;0;77873/AL
27007337;Luxury and Beautiful Apartment in Chiado;25841048;Second House;Lisboa;Santa Maria Maior;3.870.824;-914.193;Entire home/apt;125;3;74;27.11.2021;Jan 85;21;352;15;77309/AL
27007366;Pateo do Limoeiro;71962548;GT House;Sintra;Queluz e Belas;3.875.754;-925.532;Entire home/apt;54;3;23;26.10.2021;0.57;24;225;5;77393/AL
27010797;Casa da Senhora;33954932;Bruno;Lisboa;So Vicente;3.872.068;-912.826;Entire home/apt;54;2;99;22.09.2020;Feb 43;1;191;0;78490/AL
27012843;Myhome4you in Bairro Alto;202455147;Myhome4you1;Lisboa;Misericrdia;3.871.491;-914.397;Entire home/apt;42;2;118;08.12.2021;Feb 87;1;153;31;77662/AL
27014896;Suite de luxe marques pombal;203198659;Armand;Lisboa;Santo Antnio;3.872.488;-915.403;Private room;105;2;0;;;2;363;0;77873/AL
27020090;Chiado 3Bedroom Wonder by LovelyStay;257927631;LovelyStay;Lisboa;Santa Maria Maior;3.870.972;-914.186;Entire home/apt;157;2;71;26.11.2021;Jan 80;70;118;18;73679/AL
27023726;Apartamento do Cais;203087358;Alberto;Lisboa;Misericrdia;3.870.819;-914.535;Entire home/apt;60;3;92;07.12.2021;Feb 25;1;242;4;48001/AL
27025331;I Miss Lisbon;192131336;Teresa;Lisboa;So Vicente;3.872.122;-912.239;Entire home/apt;500;1;41;03.03.2020;1.00;3;0;0;71710/AL
27030354;Room with  balcony near downtown;46504130;Isabel E Rui;Lisboa;Penha de Frana;3.873.396;-912.827;Private room;28;3;53;29.11.2021;Jan 35;1;245;9;82074/AL
