id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
40604479;Luxury Scala Cascais Apartment;106937197;Vasco;Cascais;Cascais e Estoril;386.952;-943.195;Entire home/apt;215;4;0;;;26;116
40609535;Villa Riccio - Charming House in Ericeira;145630629;Frederico;Mafra;Ericeira;3.897.264;-941.541;Entire home/apt;225;4;0;;;1;298
40611562;Elegant Vintage House, with barbecue - Parede;314700672;Cláudia Cristina;Cascais;So Domingos de Rana;3.870.309;-935.746;Entire home/apt;57;5;8;26.02.2021;0.45;3;267
40627463;Alfama 3 bedroom apartment - Wifi;312204484;City;Lisboa;Santa Maria Maior;3.870.977;-913.251;Entire home/apt;115;2;1;08.12.2019;0.05;4;180
40630398;Chiado 2 bedroom duplex - Wifi;182248427;Maria João;Lisboa;Santa Maria Maior;3.871.261;-91.412;Entire home/apt;99;2;1;08.12.2019;0.05;2;316
40631020;Lisbon Home With Castle View by LovelyStay;257927631;LovelyStay;Lisboa;Arroios;3.871.737;-913.808;Entire home/apt;68;2;21;09.06.2021;Jan 18;79;243
40631404;Brand new Design Loft w/2 bedroom @ Intendente;1657560;Hervé & Manuela;Lisboa;Santa Maria Maior;3.871.941;-913.502;Entire home/apt;89;3;5;01.06.2021;0.28;7;217
40632678;Coastal house Casa Nespereira;11239527;Katrine;Cascais;Cascais e Estoril;3.870.669;-938.747;Entire home/apt;200;3;1;28.03.2020;0.07;1;222
40634161;Sailing Room - Clean & Safe;315026826;João Tiago;Lisboa;Estrela;38.711;-915.966;Entire home/apt;74;2;14;19.02.2021;0.78;5;0
40635304;Tejo à Vista | 2-Room Apartment (friends & family);315034512;Joaquin;Lisboa;Ajuda;3.870.221;-919.435;Entire home/apt;54;1;7;28.01.2020;0.39;1;0
40636709;Parada Garden Views - Comfort, Style and Views!;91107581;Alexandre;Lisboa;Campo de Ourique;387.179;-916.576;Entire home/apt;107;4;13;01.05.2021;0.73;1;24
40640831;Stunning Ocean View Villa - steps away from beach;35605078;Alejandro;Cascais;Cascais e Estoril;3.869.751;-942.187;Entire home/apt;177;2;11;13.06.2021;0.85;1;107
40646425;Luxury penthouse in prestige historic Lisbon;35042999;Peric;Lisboa;Estrela;3.871.063;-915.844;Entire home/apt;180;3;6;17.06.2021;2.00;1;173
40647136;Pepper Home;2672823;Brenno;Lisboa;Penha de Frana;3.872.483;-912.899;Entire home/apt;60;5;0;;;1;333
40647311;Tejo ao Lado;69822541;Luis Feliz;Lisboa;So Vicente;387.187;-912.343;Entire home/apt;50;3;8;17.09.2020;0.45;5;230
40657680;New! Charming Bright Apt on Famous Rua da Bica - 1;10823190;Nelson And Family;Lisboa;Misericrdia;3.870.914;-914.539;Entire home/apt;70;2;14;28.02.2020;0.75;10;305
40657950;New! Lovely Bright Apt on Famous Rua da Bica - 2;10823190;Nelson And Family;Lisboa;Misericrdia;3.870.914;-914.712;Entire home/apt;65;2;14;29.12.2019;0.79;10;271
40665441;Quarto Privado🌙⭐ Cama Casal;293702625;Márcia;Loures;Santa Iria de Azoia, So Joo da Talha e Bobadela;388.218;-909.588;Shared room;15;1;1;31.03.2020;0.07;2;179
40666878;Sweet Home By Lisbon Heart;315479299;Cristina E João;Lisboa;Alcntara;3.870.012;-919.013;Entire home/apt;54;2;21;14.08.2020;Jan 17;1;342
40667259;Goooood Morning Zoo;37792388;Elsa;Lisboa;So Domingos de Benfica;3.874.719;-916.867;Entire home/apt;75;3;0;;;1;184
40667359;family apartment / kitchen available;283969115;Hellen;Amadora;Falagueira-Venda Nova;3.876.775;-922.501;Private room;25;2;3;07.02.2020;0.17;1;21
40667890;Family house;205795409;Tiago Prado;Amadora;Falagueira-Venda Nova;3.876.615;-922.467;Private room;20;2;4;16.03.2020;0.22;1;0
40678063;Marquês Luxury Apartment;315624655;Luxury;Lisboa;Avenidas Novas;3.873.205;-915.371;Entire home/apt;125;3;1;28.12.2019;0.06;1;180
40679201;Teilintegriertes Wohnmobil 265 TL in Lissabon;187435041;Elisabete;Lisboa;Olivais;38.769;-912.466;Entire home/apt;129;3;0;;;4;286
40688210;Calmo, bons transportes, comércio,  central.;275314914;Hildegarda;Lisboa;Marvila;3.874.112;-911.123;Private room;35;3;0;;;1;180
40688931;Polo Room - Clean & Safe;315026826;João Tiago;Lisboa;Estrela;38.711;-915.754;Entire home/apt;53;2;9;26.02.2020;0.56;5;165
40689121;Boxing Room - Clean & Safe;315026826;João Tiago;Lisboa;Estrela;3.870.985;-915.983;Entire home/apt;53;2;7;26.01.2020;0.39;5;168
40689577;Tennis Room - Clean & Safe;315026826;João Tiago;Lisboa;Estrela;387.095;-915.956;Entire home/apt;53;2;8;01.01.2021;0.80;5;173
40689776;Ski Room - Clean & Safe;315026826;João Tiago;Lisboa;Estrela;3.871.137;-91.589;Entire home/apt;53;2;8;08.11.2020;0.46;5;172
40692733;Casa Alegre XI, Overlooking Sintra;296373486;Nádia;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.879.907;-93.803;Entire home/apt;61;3;13;05.02.2020;0.74;2;247
40693881;La Giungla Boutique Surf Camp;2929348;Sabina;Cascais;Carcavelos e Parede;3.869.174;-936.062;Entire home/apt;700;6;0;;;3;31
40694019;CHARMING Apartment in the center of Lisboa;315830001;Joana;Lisboa;Santa Maria Maior;3.871.259;-913.728;Entire home/apt;200;2;0;;;1;364
40698553;NEW-Cascais Holiday House - Checkinhome;10599350;Checkinhome;Cascais;Cascais e Estoril;3.870.859;-941.922;Entire home/apt;107;3;0;;;36;279
40700089;DownTown Suite With Balcony;315551991;With;Lisboa;Santa Maria Maior;3.871.612;-914.039;Entire home/apt;139;1;5;09.02.2020;0.27;2;314
40702165;Inside Lisbon with a terrace;315551991;With;Lisboa;Santa Maria Maior;3.871.612;-914.039;Entire home/apt;111;1;0;;;2;323
40706901;Bica Funicular 2 bedroom - Wifi;315950638;Maria;Lisboa;Misericrdia;3.871.063;-914.587;Entire home/apt;99;2;0;;;1;309
40707720;Iconic modern Apartment near Belém;140799888;José;Lisboa;Ajuda;3.870.268;-919.238;Entire home/apt;39;3;11;21.09.2020;0.65;5;358
40717131;Libest Av. da Liberdade 3 - Restauradores CENTRAL;56201244;Libest;Lisboa;Santa Maria Maior;3.871.778;-913.404;Entire home/apt;70;2;6;17.03.2020;0.37;27;301
40718422;Island Dancer - Marina Parques Das Nacoes, Lisbon;77269937;Tom;Lisboa;Parque das Naes;3.875.531;-909.307;Private room;19;3;3;04.03.2020;0.18;4;252
40718871;Stylish Tailor Made Flat;8046399;Tomás;Lisboa;Estrela;3.870.453;-916.076;Entire home/apt;55;2;19;22.05.2021;01. Jun;20;266
40721773;Bica Suite Apartment;260396419;Hélène;Lisboa;Misericrdia;3.870.849;-914.574;Entire home/apt;53;2;10;30.08.2020;0.61;4;359
40722623;Belem Star Apartments - Pre Earthquake;85459819;Associação Lisbonense Proprietários;Lisboa;Belm;3.869.775;-920.319;Entire home/apt;90;3;0;;;3;76
40724701;Spacious Apartment Alameda #FullApartment;188329534;ProCondómino;Lisboa;Areeiro;3.873.978;-91.301;Entire home/apt;25;4;0;;;7;0
40725562;Elegant&spacious apartment on an idyllic location;31542294;Ben;Sintra;Colares;3.879.774;-945.752;Entire home/apt;70;2;3;26.08.2020;0.30;2;349
40726485;Bright 2 bedroom apt by the castle;6721716;Alexandre;Lisboa;So Vicente;3.871.665;-913.158;Entire home/apt;100;5;2;03.01.2020;0.11;1;358
40727259;LISBON TIMES 4 - Four bedroom with lovely patio;8361172;Camila & Cynthia;Lisboa;Penha de Frana;3.872.371;-912.964;Entire home/apt;160;2;0;;;11;334
40745000;Living Chiado;4861007;Pedro;Lisboa;Santa Maria Maior;3.870.844;-913.894;Entire home/apt;110;1;13;23.09.2020;0.83;26;166
40746648;Living Bairro Alto V;4861007;Pedro;Lisboa;Misericrdia;3.871.207;-91.463;Entire home/apt;150;1;16;26.05.2021;01. Apr;26;342
40748211;Upscale & Modern 2BDR Apartment by LovelyStay;257927631;LovelyStay;Lisboa;Santa Maria Maior;3.871.393;-913.729;Entire home/apt;169;2;13;07.03.2020;0.74;79;18
40748369;[Finestay] Amazing 2 bedroom Apt in bustling area;82110597;Fine;Lisboa;Misericrdia;3.870.765;-914.689;Entire home/apt;182;2;0;;;14;129
40749397;Quarto Charmoso em Campo de Ourique;36630782;Maria;Lisboa;Campo de Ourique;3.871.747;-915.925;Private room;80;2;0;;;1;173
40751996;ALTIDO Graca 2-BR Apartment near the Pantheon;249814734;Denise;Lisboa;So Vicente;3.872.123;-912.633;Entire home/apt;206;3;0;;;2;0
40752237;Bright Valadim Apartment;688914;Luis;Cascais;Cascais e Estoril;3.869.497;-942.141;Entire home/apt;101;1;0;;;38;82
40757239;Cosy place in Arroios;66943560;Moritz;Lisboa;Arroios;3.873.409;-913.243;Private room;60;1;1;29.01.2020;0.06;1;365
40764427;Quarto em ambiente famíliar.;286624837;Tonny;Loures;Sacavm e Prior Velho;3.879.442;-91.098;Private room;30;1;0;;;2;0
40768504;NEW!! Suíte with Bathtub in Principe Real;12440310;Maria Carolina Toassa;Lisboa;Misericrdia;3.871.354;-914.488;Private room;66;1;3;11.10.2020;0.18;6;334
40768525;Small and comfortable apartment in Lisbon;226495415;Val;Lisboa;Santa Maria Maior;3.871.485;-913.541;Entire home/apt;45;1;1;02.01.2020;0.06;1;90
40769288;NEW! Modern Suite Private Bath + Patio in Chiado;12440310;Maria Carolina Toassa;Lisboa;Misericrdia;3.871.527;-914.615;Private room;61;1;4;01.01.2021;0.37;6;338
40769504;NEW!! Historic Suíte + Private Bath near Chiado;12440310;Maria Carolina Toassa;Lisboa;Misericrdia;3.871.524;-914.428;Private room;83;1;28;30.05.2021;Jan 57;6;337
40769629;NEW!! Romantic Room with Private Bath near Chiado;12440310;Maria Carolina Toassa;Lisboa;Santo Antnio;3.871.565;-914.464;Private room;60;1;1;28.12.2020;0.17;6;339
40770512;Casa do Mercado - Suite Room;192095100;Portugal;Lisboa;Misericrdia;3.870.757;-91.472;Private room;80;1;0;;;4;0
40772037;EPIC Apt in Vilhena Palace [Parking] by FS;82110597;Fine;Lisboa;Campo de Ourique;3.871.516;-915.441;Entire home/apt;189;2;5;05.07.2020;0.30;14;0
40772201;MARQUES DE POMBAL TYPICAL by HOMING;104083974;Homing;Lisboa;Avenidas Novas;3.873.095;-91.508;Entire home/apt;69;2;3;29.02.2020;0.18;91;358
40772202;Mouraria Charming Flat III;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.871.561;-913.454;Entire home/apt;34;1;1;20.12.2020;0.16;272;78
40773430;Lx Factory Charming Place;3953109;Feels Like Home;Lisboa;Alcntara;3.870.475;-918.001;Entire home/apt;71;1;5;01.03.2020;0.28;272;287
40773432;Chiado Central Flat;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.871.101;-913.982;Entire home/apt;61;1;0;;;272;348
40773433;Alfama Charming Duplex;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.871.077;-912.808;Entire home/apt;61;1;5;21.02.2020;0.28;272;321
40773440;Mouraria Charming Flat I;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.871.533;-913.414;Entire home/apt;40;1;0;;;272;328
40773441;Mouraria Charming Flat II;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.871.522;-91.328;Entire home/apt;34;1;0;;;272;290
40775547;Cozy Lisboa rooms, walk everywhere!;11726583;Francisca;Lisboa;So Vicente;3.871.933;-912.197;Entire home/apt;45;2;2;19.01.2020;0.12;1;0
40775915;Belem Star Apartments - Lovely Attic;85459819;Associação Lisbonense Proprietários;Lisboa;Belm;3.869.799;-920.213;Entire home/apt;90;3;0;;;3;77
40777314;Mouraria Charming Flat IV;3953109;Feels Like Home;Lisboa;Santa Maria Maior;3.871.528;-91.322;Entire home/apt;34;1;0;;;272;331
40779261;Modern and comfortable apartment inside Lisbon;178584690;Ana;Amadora;Encosta do Sol;387.652;-921.004;Entire home/apt;67;3;3;01.03.2021;0.31;3;25
40780187;Sintra Cozy Suite;169087400;Tiago;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.875.986;-936.012;Private room;40;1;1;02.01.2020;0.06;1;0
40780938;Beautifull Pool Apartment with a Garage;122843278;Henrique;Lisboa;So Domingos de Benfica;3.874.723;-916.411;Entire home/apt;95;2;0;;;2;105
40782041;My Mouraria Suites - Apart 3 Next the Castle;124462320;Teresa & Bernardo;Lisboa;Santa Maria Maior;3.871.579;-913.262;Entire home/apt;44;2;9;17.04.2021;0.88;9;210
40782558;Unique Wood Ceiling Duplex in Bairro Alto;140799888;José;Lisboa;Misericrdia;3.871.311;-914.804;Entire home/apt;48;3;12;31.05.2021;0.78;5;335
40783900;The Best Lisbon Location Apt, by TimeCooler;74171605;Rui & Elsa;Lisboa;Santa Maria Maior;3.871.027;-913.627;Entire home/apt;111;2;35;14.05.2021;Jan 94;20;324
40791646;Modern & Bright One Bed Apt in St. George's Castle;311305257;Hostmaker;Lisboa;Santa Maria Maior;38.712.814;-9.134.746;Entire home/apt;65;2;6;15.09.2020;Feb 25;3;340
40791654;Cosy 1-Bedroom Flat Sleeps 3 in St George's Castle;311305257;Hostmaker;Lisboa;Santa Maria Maior;3.871.381;-913.303;Entire home/apt;74;2;4;18.09.2020;0.42;3;365
40791662;Amazing Studio w/Terrace in St. George Castle;311305257;Hostmaker;Lisboa;Santa Maria Maior;3.871.361;-913.363;Entire home/apt;71;2;8;16.09.2020;0.90;3;348
40793204;Estrela Tejo River Studio | Ideal for 2 or solo;317037161;Teresa;Lisboa;Estrela;3.871.101;-916.644;Entire home/apt;78;2;5;07.03.2020;0.32;4;16
40794019;Alfama & Fado Studio - Ideal for 2 or solo;317037161;Teresa;Lisboa;Santa Maria Maior;3.871.062;-912.948;Entire home/apt;60;2;10;16.03.2020;0.62;4;15
40794461;Estrela Vintage Apartment | for Family & Friends;317037161;Teresa;Lisboa;Estrela;38.711;-916.655;Entire home/apt;60;2;2;17.02.2020;0.12;4;17
40797607;Lisbon lovely duplex;150426604;Joao;Lisboa;Santa Maria Maior;3.871.265;-912.733;Entire home/apt;41;2;59;12.08.2020;Mrz 33;8;345
40798371;Charming 1 Bedroom Apt next to Time out Market;82110597;Fine;Lisboa;Misericrdia;3.870.765;-914.689;Entire home/apt;152;2;0;;;14;79
40798943;Charming Apartment on historic center I;317097509;Sofia;Lisboa;Misericrdia;3.870.987;-91.497;Entire home/apt;50;2;2;05.06.2021;0.12;3;340
40803064;Room in Principe Real apartment with terrace;2068065;Vanda;Lisboa;Misericrdia;3.871.485;-915.315;Private room;40;3;0;;;33;134
40813766;T2 de luxo no Bairro Alto com vista para o Tejo;317362331;Carlos;Lisboa;Misericrdia;3.871.132;-914.445;Entire home/apt;50;30;0;;;1;128
40837440;Azenhas do Mar Village;115636172;Fernando;Sintra;Colares;3.883.874;-946.174;Entire home/apt;100;2;11;01.06.2021;0.67;12;342
40843089;Lisbon cozy apartment;317871040;Carlos;Lisboa;So Vicente;3.871.964;-912.143;Entire home/apt;90;3;1;19.12.2019;0.05;1;362
40854172;Duplo Standard com WC privativo;222406082;Marisa;Mafra;Venda do Pinheiro e Santo Estvo das Gals;3.892.211;-923.356;Private room;60;1;3;27.08.2020;0.40;3;178
40854691;Charming Apartment on historic center II;317097509;Sofia;Lisboa;Misericrdia;3.870.962;-91.508;Entire home/apt;60;2;1;18.05.2021;1;3;137
40857290;Vista do Mar {Praia das Maças};318020294;Tiffany;Sintra;Colares;3.882.541;-946.753;Private room;65;1;0;;;1;348
40859786;Charming Apartment in historic center III;317097509;Sofia;Lisboa;Misericrdia;3.871.017;-914.997;Entire home/apt;60;2;5;31.05.2021;0.30;3;172
40859825;Colares Casa com Vista;134101651;Gonçalo;Sintra;Colares;3.879.133;-945.975;Entire home/apt;100;2;1;22.08.2020;0.10;3;168
40860314;Clean&Safe. Charming flat. Airy&Fresh;318046642;Ana And Carla;Lisboa;Santa Maria Maior;3.871.387;-913.497;Entire home/apt;80;2;0;;;1;166
40862676;Reis Leon III @  Balcony / Elevator / AC;59156390;Maria;Lisboa;Arroios;3.872.369;-913.595;Entire home/apt;128;2;8;31.10.2020;0.45;17;53
40866340;Jasmim Flat - Cozy room with a view;318112560;Jasmim;Lisboa;Misericrdia;3.871.417;-914.903;Private room;24;5;1;24.01.2020;0.06;1;90
40867976;Coração de Lisboa;265167226;Luís;Lisboa;Beato;3.873.628;-911.807;Entire home/apt;165;1;0;;;2;0
40882540;Vogue 23 - 7 rooms exclusive boutique experience;182666691;Tatiana;Cascais;Alcabideche;3.873.629;-943.963;Private room;700;1;1;08.01.2020;0.06;2;314
